source,author,title,description,content,url,image_url,published_at
Financial Post,Bloomberg News,"Meta, tech stocks push indexes higher as oil prices slide",Strength in the tech sector spurred U.S. stock benchmarks to extend gains midday Monday as oil prices slide. Read more.,Strength in the tech sector spurred U.S. stock benchmarks to extend gains midday Monday as oil prices slide and officials signalled optimism about a summit between U.S. President Donald Trump and Chi… [+5149 chars],https://financialpost.com/investing/meta-tech-stocks-push-indexes-higher-oil-prices-slide,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/09/0922-bc-stocks-.jpg,2026-09-21T18:16:45Z
Digital Journal,AFP,OpenAI calls for US to lead global effort on AI standards,"Concerns about AI safety have escalated over the past few months amid a series of security incidents and doomsday warnings, prompting regulators and others around the world to call for more action.  
The post OpenAI calls for US to lead global effort on AI st…",OpenAI on Monday called for the United States to lead a global effort on establishing standards for developing artificial intelligence as CEO Sam Altman prepares to brief the United Nations this week… [+2767 chars],https://www.digitaljournal.com/article/openai-calls-for-us-to-lead-global-effort-on-ai-standards/,https://www.digitaljournal.com/wp-content/uploads/2026/09/95aa3a1c859e4ff835d319bd1ec5c1491fa40658.jpg,2026-09-21T18:15:09Z
Biztoc.com,pbs.org,"As China and U.S. compete for AI dominance, both have shared concerns over safety",U.S. President Donald Trump and Chinese leader Xi Jinping are expected to meet this week to discuss artificial intelligence.,"U.S. President Donald Trump and Chinese leader Xi Jinping are expected to meet this week to discuss artificial intelligence.
This story appeared on pbs.org, 2026-09-21 18:03:59.",https://biztoc.com/x/9579daad4d727f17,https://biztoc.com/cdn/9579daad4d727f17_s.webp,2026-09-21T18:13:59Z
Biztoc.com,247wallst.com,"Fastly Soars 14% on AI Firewall Launch; Cloudflare Climbs 7%, Datadog Rises 5%","The post Fastly Soars 14% on AI Firewall Launch; Cloudflare Climbs 7%, Datadog Rises 5% appeared first on 24/7 Wall St..
Fastly (NASDAQ:FSLY) is at the center of a same-session bid across edge security and artificial intelligence (AI) traffic infrastructure, …","The post Fastly Soars 14% on AI Firewall Launch; Cloudflare Climbs 7%, Datadog Rises 5% appeared first on 24/7 Wall St..Fastly (NASDAQ:FSLY) is at the center of a same-session bid across edge securit… [+145 chars]",https://biztoc.com/x/31201af4ec14cbdc,https://biztoc.com/cdn/31201af4ec14cbdc_s.webp,2026-09-21T18:13:46Z
The Daily Caller,Sean Moran,Congress Wants To Curb Exporting AI Chips to China. Will It Make An Impact?,"Congress wants to curb artificial intelligence (AI) chip exports to China, will it make an impact as the country ramps up chip production?","Congress wants to curb artificial intelligence (AI) chip exports to China as the U.S. ramps up domestic chip production? 
Nvidia CEO Jensen Huang has had some success in convincing lawmakers to stri… [+4958 chars]",https://dailycaller.com/2026/09/21/congress-artificial-intelligence-chips-china,"https://images.dailycaller.com/image/width=1280,height=549,fit=cover,format=webp,f=auto/https://cdn01.dailycaller.com/wp-content/uploads/2026/09/China%20AI%20apps%20Getty%207x3.jpg",2026-09-21T18:11:55Z
POLITICO.eu,Antoaneta Roussi,How Western tech helps funnel recruits into Russia’s war,"A network targeting workers in Africa, Asia and Belarus relies on Western tech and platforms to recruit people for Russia's war effort, according to a new investigation.","Behind this systematic online manipulation campaign is a Russian war recruitment machine and much of it is running on Western digital channels, servers and other tech infrastructure.
A new report sh… [+1985 chars]",https://www.politico.eu/article/how-western-tech-helps-funnel-recruits-into-russias-war-africa/,"https://www.politico.eu/cdn-cgi/image/width=1200,height=630,fit=crop,quality=80,onerror=redirect/wp-content/uploads/2026/09/21/GettyImages-2274682753-scaled.jpg",2026-09-21T18:10:13Z
The Times of India,AP,Gates Foundation launches coalition to build more representative language data sets for AI,"The partners - 60 in total, according to Monday's announcement - include frontier AI labs, corporations, philanthropies and others already working to expand the number of languages available in AI tools that the Gates Foundation believes could combat global i…","The Gates Foundation is convening Anthropic, Google, OpenAI Foundation and dozens of other organisations to help make artificial intelligence more accessible in underrepresented languages.The partner… [+3366 chars]",https://economictimes.indiatimes.com/tech/technology/gates-foundation-launches-coalition-to-build-more-representative-language-data-sets-for-ai/articleshow/134395989.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-162080,resizemode-75,msid-134395989/tech/technology/gates-foundation-launches-coalition-to-build-more-representative-language-data-sets-for-ai.jpg",2026-09-21T18:08:18Z
Ewtnnews.com,Tyler Arnold,"Vatican group to discuss AI, human dignity with world leaders at UN General Assembly","The discussion focuses on the question “What are we building, for whom, and who will inherit it?”","A Vatican-led organization is meeting with world leaders on artificial intelligence, human dignity, the common good, and other aspects of Catholic social teaching on the sidelines of the United Natio… [+2670 chars]",https://www.ewtnnews.com/world/us/vatican-group-goes-to-ny-for-un-meeting,"https://res.cloudinary.com/ewtn/image/upload/c_fill,g_auto,w_1200,h_630/v1786654492/ewtn-news/en/shutterstock_2591456087_b3mnou.jpg",2026-09-21T18:06:00Z
The Times of India,Reuters,OpenAI calls for US to take lead in global efforts to develop technical standards,AI will be a key topic of discussion at the high-level UN General Assembly this week after several AI industry leaders - including OpenAI chief executive Sam Altman - called for a coordinated slowdown of the development of the increasingly powerful technology…,"Artificial intelligence giant OpenAI called on Monday for the United States to lead an international effort to develop global technical standards for frontier AI, including recursive self-improvement… [+2575 chars]",https://economictimes.indiatimes.com/tech/technology/openai-calls-for-us-to-take-lead-in-global-efforts-to-develop-technical-standards/articleshow/134395917.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-1420320,resizemode-75,msid-134395917/tech/technology/openai-calls-for-us-to-take-lead-in-global-efforts-to-develop-technical-standards.jpg",2026-09-21T18:05:52Z
Coolcatteacher.com,"coolcatteacher@gmail.com (Victoria A Davis, Cool Cat Teacher), Victoria A Davis, Cool Cat Teacher","Someone Who Noticed: Kathy Nimmer, the Helen Keller Award, and Why Noticing Matters in the Age of AI","From the Cool Cat Teacher Blog by Vicki Davis Subscribe to the 10 Minute Teacher Podcast and Cool Cat Teacher Talk anywhere you listen to podcasts.
Kathy Nimmer taught high school English for 29 years, totally blind, and built SEEDS, a program that protects n…","Teachers, your noticing matters. When today’s guest, Kathy Nimmer, was a little girl, she struggled to see in second grade. Her teacher noticed and told her parents. Her parents took her to doctors. … [+58240 chars]",https://www.coolcatteacher.com/notice/,https://www.coolcatteacher.com/wp-content/uploads/2026/09/S7E8-Kathy-Nimmer-1.png,2026-09-21T18:00:35Z
Entrepreneur,Charisma Glassman,A Wave of New Regulations Is Reshaping Retail. The Businesses That Prepare Now Will Have an Advantage.,"Customs, AI, packaging, deforestation and privacy rules are landing across four continents this year, and they all demand the same thing. Here's what you need to know.","Opinions expressed by Entrepreneur contributors are their own.Key Takeaways
<ul><li>New rules on customs, AI disclosure, packaging, deforestation and privacy look unrelated on the surface, but all d… [+6220 chars]",https://www.entrepreneur.com/building-a-business/a-wave-of-new-regulations-is-reshaping-retail-the-businesses-that-prepare-now-will-have-an-advantage,"https://www.entrepreneur.com/wp-content/uploads/sites/2/2026/09/regulations-on-retail-0926-g-2234451989.jpg?resize=1024,683",2026-09-21T18:00:00Z
Entrepreneur,Wes Chaar,"Personalization Is Now an Ethical Decision, Not Just a Marketing One. Here’s Why.","As businesses gain unprecedented influence over consumer decisions, leaders must decide where optimization ends and ethical responsibility begins.","Opinions expressed by Entrepreneur contributors are their own.Key Takeaways
<ul><li>Anonymized data offers little protection because behavior itself is identifiable, so any business using modern ad … [+5024 chars]",https://www.entrepreneur.com/science-technology/personalization-is-now-an-ethical-decision-not-just-a/505205,"https://www.entrepreneur.com/wp-content/uploads/sites/2/2026/09/1789769324-personalization-now-ethical-decision-0926-s-1746123254.jpg?resize=1024,682",2026-09-21T18:00:00Z
Biztoc.com,foxbusiness.com,Nvidia's Jensen Huang rejects AI doomsday fears: '2030 is not going to be the end of the world',"Nvidia CEO Jensen Huang said in an interview on Friday that he disagrees with doomsday warnings that artificial intelligence (AI) may contribute to the extinction of humanity within a decade.
Huang told CBS News that ""2030 is not going to be the end of the wo…",Nvidia CEO Jensen Huang said in an interview on Friday that he disagrees with doomsday warnings that artificial intelligence (AI) may contribute to the extinction of humanity within a decade.Huang to… [+150 chars],https://biztoc.com/x/81d5cc35c8c2d79f,https://biztoc.com/cdn/81d5cc35c8c2d79f_s.webp,2026-09-21T17:59:07Z
New York Post,Josh Christenson,Trump will call out ‘ridiculous’ UN for claims US commits war crimes: Ambassador Waltz,"""The fact that these parts of the UN continue to make that kind of ridiculous moral equivalence just overshadows in some cases the good work that it's doing,"" Waltz said.","TURTLE BAY Last year, it was “a bad escalator and a bad teleprompter.”
This year, expect “a healthy dose of continuing to call out the ridiculous” from President Trump during his address at the Unit… [+4137 chars]",https://nypost.com/2026/09/21/us-news/trump-will-call-out-ridiculous-un-for-claims-us-commits-war-crimes-ambassador-waltz/,https://nypost.com/wp-content/uploads/sites/2/2026/09/141954597.jpg?quality=75&strip=all&w=1200,2026-09-21T17:51:13Z
PRNewswire,,"The Inner Circle acknowledges Shayla Williams Fender, as a Pinnacle Professional Member Inner Circle of Excellence","FARMINGTON, Conn., Sept. 21, 2026 /PRNewswire/ -- Shayla Williams Fender prominently featured as a Pinnacle Professional Member Inner Circle of Excellence, for advancing human-centered business transformation through AI and UX Strategy. Shayla Williams Fender…","FARMINGTON, Conn., Sept. 21, 2026 /PRNewswire/ -- Shayla Williams Fender prominently featured as a  Pinnacle Professional Member Inner Circle of Excellence, for advancing human-centered business tran… [+3020 chars]",https://www.prnewswire.com/news-releases/the-inner-circle-acknowledges-shayla-williams-fender-as-a-pinnacle-professional-member-inner-circle-of-excellence-302885030.html,https://mmx.prnewswire.com/media/MS1992731/The-Inner-Circle-Shayla-Williams-Fender-photo.jpg?id=OA2960693&p=facebook,2026-09-21T17:50:00Z
The Times of India,Subhadra Srivastava,"‘Whoever wins AI, WINS!' Trump calls AI doomsday warnings bigger 'hoax' than climate change","US News: US president Donald Trump has dismissed warnings that artificial intelligence could threaten humanity, calling such concerns a “HOAX” and saying they .","<ul><li>News</li>
<li>World News</li>
<li>US News</li>
<li>Whoever wins AI, WINS!' Trump calls AI doomsday warnings bigger 'hoax' than climate change</li></ul>
Follow Us On Social Media
Pak Airl… [+3039 chars]",https://timesofindia.indiatimes.com/world/us/whoever-wins-ai-wins-trump-calls-ai-doomsday-warnings-bigger-hoax-than-climate-change/articleshow/134395249.cms,"https://static.toiimg.com/thumb/msid-134395289,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-09-21T17:47:46Z
Psychology Today,Peg O'Connor Ph.D.,AI Helps DraftKings to Exploit the Most Vulnerable Gamblers,"AI helps DraftKings exploit the most vulnerable gamblers with targeted marketing. At the same time, the company preaches personal responsibility.","A story in The New York Times has revealed a new predatory use of Artificial Intelligence (AI). DraftKings, one of the biggest online sports betting companies, uses AI to target those people who have… [+5477 chars]",https://www.psychologytoday.com/us/blog/philosophy-stirred-not-shaken/202609/ai-helps-draftkings-to-exploit-the-most-vulnerable,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2026-09/pexels-tima-miroshnichenko-7047321.jpg?itok=Fi651bh4,2026-09-21T17:47:45Z
Mediaite,Tom Durante,"Trump Goes on Bonkers Rant Against Climate Change, Tying It to AI: ‘Nobody Was Dead’","President Donald Trump went on an electronic tirade against climate change, comparing any controversy surrounding it to recent panic that AI ""will kill us all.""
The post Trump Goes on Bonkers Rant Against Climate Change, Tying It to AI: ‘Nobody Was Dead’ firs…","(AP Photo/Alex Brandon)
President Donald Trump went on an electronic tirade against climate change, comparing any controversy surrounding it to recent panic that AI “will kill us all.”
In a Truth S… [+1871 chars]",https://www.mediaite.com/media/news/trump-goes-on-bonkers-rant-against-climate-change-tying-it-to-ai-nobody-was-dead/,https://www.mediaite.com/wp-content/uploads/2026/09/trump-10-scaled.jpeg,2026-09-21T17:47:30Z
Biztoc.com,finance.yahoo.com,Not Nvidia. Not Micron. Meet the AI Infrastructure Stock That Could Triple in Just 3 Years,"The artificial intelligence (AI) infrastructure boom has supercharged Nvidia and Micron Technology's growth in recent years, as both companies sell mission-critical chips deployed in AI data centers for model training and inference.
Not surprisingly, investme…","The artificial intelligence (AI) infrastructure boom has supercharged Nvidia and Micron Technology's growth in recent years, as both companies sell mission-critical chips deployed in AI data centers … [+151 chars]",https://biztoc.com/x/cb2164c09bbed194,https://biztoc.com/cdn/cb2164c09bbed194_s.webp,2026-09-21T17:46:15Z
Biztoc.com,finance.yahoo.com,Broadcom vs. Intel: Which Semiconductor Stock Is a Better Buy in 2026?,The global semiconductor landscape is shifting as artificial intelligence demands more specialized hardware. Choosing between Broadcom (NASDAQ:AVGO) and Intel (NASDAQ:INTC) in 2026 means deciding between a high-growth infrastructure specialist and a legacy gi…,The global semiconductor landscape is shifting as artificial intelligence demands more specialized hardware. Choosing between Broadcom (NASDAQ:AVGO) and Intel (NASDAQ:INTC) in 2026 means deciding bet… [+140 chars],https://biztoc.com/x/392225b4009c3dd6,https://biztoc.com/cdn/392225b4009c3dd6_s.webp,2026-09-21T17:45:50Z
Popularwoodworking.com,Logan Wittmer,IWF 2026,"Every other year, a good portion of the woodworking industry descends on Atlanta for the International Woodworking Fair, better known simply as IWF. And when I say “woodworking industry,” I...
Source","We may receive a commission when you use our affiliate links. However, this does not impact our recommendations.Bridgid (Fine Woodworking), Logan, and Collin at our booth at IWF 2026. Through our sis… [+3365 chars]",https://www.popularwoodworking.com/editors-blog/iwf-2026/,https://media.popularwoodworking.com/app/uploads/2026/09/21131113/image.jpeg,2026-09-21T17:45:17Z
Financial Post,Serah Louis,What would being an ‘associate member’ of the EU mean for the Canadian economy and businesses?,Here's what Canada's new partnership with the European Union means for the economy and what businesses can expect moving forward. Read more.,"Karaguesian said if the remaining 10 countries that did not ratify CETA had concerns over Canadian products flooding their markets, they could be equally hesitant to include Canada as an associate me… [+3053 chars]",https://financialpost.com/news/economy/associate-member-eu-mean-canada-economy-businesses,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/09/no0921carney-ursula.jpg,2026-09-21T17:40:45Z
PRNewswire,,Around 100 Former Heads of State and Government Call on Current Leaders to Renew International Cooperation,"Former leaders urge a renewed framework for cooperation grounded in human dignity, the rule of law and mutual respect. New global polling shows broad public support for countries working together. NEW YORK, Sept. 21, 2026 /PRNewswire/ -- Around 100 former hea…","Against that backdrop, the former leaders underscore that today's challenges from conflict, climate change and pandemics to inequality, migration and transformative technologies such as artificial in… [+8487 chars]",https://www.prnewswire.com/news-releases/around-100-former-heads-of-state-and-government-call-on-current-leaders-to-renew-international-cooperation-302885032.html,https://mmx.prnewswire.com/media/MS1992782/Rajiv-J-Shah-1.jpg?id=OA2960833&p=facebook,2026-09-21T17:40:00Z
pymnts.com,PYMNTS,Mastercard Helps Danske Bank With Denmark-First Agentic Transaction,"Mastercard said it has helped Denmark’s Danske Bank reach an agentic payments milestone. Using Mastercard’s Agent Pay, Danske was able to complete a transaction in which an artificial intelligence (AI) agent made both the purchase and payment on a customers’ …","Mastercard said it has helped Denmarks Danske Bank reach an agentic payments milestone.Using Mastercards Agent Pay, Danske was able to complete a transaction in which an artificial intelligence (AI) … [+2508 chars]",https://www.pymnts.com/news/payments-innovation/2026/mastercard-helps-danske-bank-with-denmark-first-agentic-transaction/,https://www.pymnts.com/wp-content/uploads/2026/03/Mastercard-agentic-AI-1.jpg,2026-09-21T17:38:13Z
NPR,Joel Rose,Aviation regulators turn to AI to help manage the nation's airspace,The Federal Aviation Administration launched an ambitious $875-million-dollar push to make the U.S. airspace more efficient. But critics say it won't solve bigger problems with air traffic control.,"WASHINGTON The federal agency in charge of air traffic control is turning to artificial intelligence to help manage the nation's airspace.
The Federal Aviation Administration officially launched its… [+3549 chars]",https://www.npr.org/2026/09/21/nx-s1-5976816/faa-ai-manage-airspace,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1024x576+0+50/resize/1400/quality/85/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F33%2Ff9%2Fa1ba379c412caa70582f71d4c63f%2Fgettyimages-2239675235.jpg,2026-09-21T17:37:56Z
The Irish Times,Ciara O'Brien,Rally in bank and tech stocks lifts European shares,"Iseq starts week in positive territory, lifted by gains in construction, food and banking","A rally in heavyweight banks and technology stocks lifted European shares on Monday, while oil prices slumped for the fourth consecutive session, boosting broader risk sentiment.
Oil prices slid tow… [+3634 chars]",https://www.irishtimes.com/business/2026/09/21/rally-in-bank-and-tech-sticks-lifts-european-shares/,https://www.irishtimes.com/resizer/v2/IXOUXXCOMXDOC2MSF6FZU4SRJE.jpg?smart=true&auth=462ccf9e0e89d4c1166e0d2e132b55386d0dc956e2ac971707c8813d94102b86&width=1200&height=630,2026-09-21T17:36:21Z
Onefootball.com,Confederação Brasileira de Futebol,ESPN confirmed as third Copa do Brasil rights holder,"On the morning of Monday (21), the Brazilian Football Confederation (CBF) and ESPN confirmed the broadcast rights agreement for the Copa do Brasil for the 2027 to 2030 cycle. ESPN joins Grupo Globo an...","On the morning of Monday (21), the Brazilian Football Confederation (CBF) and ESPN confirmed the broadcast rights agreement for the Copa do Brasil for the 2027 to 2030 cycle. ESPN joins Grupo Globo a… [+4067 chars]",https://onefootball.com/en/news/espn-confirmed-as-third-copa-do-brasil-rights-holder-43500446,https://s.yimg.com/lo/mysterio/api/6d01ed65e5c7fe8d3f0e8f378acb27ca0e71a3405ca46e273edd61453f1be0ae/lightyear_networkapi/resizefill_w1200%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fcbf_articles_956%2Fec49f32ffe893f85cb8d16684eda9fae.png,2026-09-21T17:34:00Z
Onefootball.com,OneFootball,Super Fifa break: see  and the top national teams' fixtures,"Club competitions will pause for 16 DAYS for the FIFA international break. There’s the Brazilian National Team, Messi’s farewell, and giant showdowns.The FIFA international break will run until Oc...","Club competitions will pause for 16 DAYS for the FIFA international break. There's the Brazilian National Team, Messi's farewell, and giant showdowns.
The FIFA international break will run until Oct… [+2524 chars]",https://onefootball.com/en/news/super-fifa-break-see-and-the-top-national-teams-fixtures-43500449,https://s.yimg.com/lo/mysterio/api/a39b249bbc5b8743166f17da76f5ea008650dc6cb2c74c1becaf326852fdc0ba/lightyear_networkapi/resizefill_w1024_h712%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fonefootball_articles_802%2Fee0d5780f05e4bd9a47ed187b464a040.jpg,2026-09-21T17:34:00Z
The Tribune India,Ani,"AI hiring headwinds hit white-collar roles first, spare blue-collar labour for now: Goldman Sachs Report - The Tribune","The impact of artificial intelligence on labour markets is falling primarily on white-collar knowledge workers, creative fields, and technology service sectors rather than causing sweeping automation of blue-collar jobs, according to a macroeconomics research…","New Delhi [India], September 21 (ANI): The impact of artificial intelligence on labour markets is falling primarily on white-collar knowledge workers, creative fields, and technology service sectors … [+2121 chars]",https://www.tribuneindia.com/news/business/ai-hiring-headwinds-hit-white-collar-roles-first-spare-blue-collar-labour-for-now-goldman-sachs-report/,https://www.tribuneindia.com/sortd-service/imaginary/v22-01/jpg/large/high?url=dGhldHJpYnVuZS1zb3J0ZC1wcm8tcHJvZC1zb3J0ZC9tZWRpYTdjOTcwMDcwLWI1Y2QtMTFmMS1iN2M0LWQ5MzYzYTY1OTBjNy5qcGc=,2026-09-21T17:32:09Z
Biztoc.com,businessinsider.com,10 of the US' youngest billionaires in 2026 — and how they got their fortunes,"Palmer Luckey, founder of Anduril Industries, is one of the US' youngest billionaires.
Chris Unger/Zuffa LLC
Forbes published its 2026 list of the top 400 billionaires in the US on Tuesday.
Many of the US' youngest billionaires owe their fortunes to artificia…","Palmer Luckey, founder of Anduril Industries, is one of the US' youngest billionaires.Chris Unger/Zuffa LLCForbes published its 2026 list of the top 400 billionaires in the US on Tuesday.Many of the … [+136 chars]",https://biztoc.com/x/b2f87a0118a52d18,https://biztoc.com/cdn/b2f87a0118a52d18_s.webp,2026-09-21T17:28:29Z
Biztoc.com,breakingthenews.net,Meta surges 10% on Wells Fargo upgrade,"Meta shares surged 10% on Monday after Wells Fargo raised its price target to $796, citing progress in the company's artificial intelligence efforts. More to come......","Meta shares surged 10% on Monday after Wells Fargo raised its price target to $796, citing progress in the company's artificial intelligence efforts. More to come......
This story appeared on breaki… [+34 chars]",https://biztoc.com/x/7c0fc9d88949f8cd,https://biztoc.com/cdn/7c0fc9d88949f8cd_s.webp,2026-09-21T17:28:22Z
